id,bookname,category,genre,author,publisher,yearpublished,isbn,edition,price
516,The Witch of Blackbird Pond,nonfiction,,Elizabeth George Speare,Penguin Group (USA) LLC,1958,,,7.99
517,The Heir, fiction,,Kiera Cass,"Amazon Digital Services,  Inc.",2015,,,3.99
518,Shopaholic Ties the Knot, fiction,,Sophie Kinsella,"Amazon Digital Services,  Inc.",2002,,,2.99
519,The Woman in White, fiction,,"Wilkie Collins, Matthew Sweet","Amazon Digital Services,  Inc.",1859,,,4.99
520,Career of Evil, fiction,,"Robert Galbraith, J.K. Rowling",Penguin Group (USA) LLC,2015,,,7.58
521,The Summer I Turned Pretty, fiction,,Jenny Han,"Amazon Digital Services,  Inc.",2009,,,3.99
522,Four to Score , fiction,,Janet Evanovich,"Amazon Digital Services,  Inc.",1998,,,0.99
523,The Color of Water: A Black Man's Tribute to His White Mother, fiction,,James McBride,"Amazon Digital Services,  Inc.",1996,,,0.99
524,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance", fiction,,"Steven D. Levitt, Stephen J. Dubner",Penguin Group (USA) LLC,2009,,,7.69
525,Darkfever, fiction,,Karen Marie Moning,Penguin Group (USA) LLC,2006,,,10.65
526,Stone of Tears, fiction,,Terry Goodkind,Penguin Group (USA) LLC,1995,,,7.31
527,Heart of the Matter, fiction,,Emily Giffin,Simon and Schuster Digital Sales Inc,2010,,,5.99
528,Vanity Fair: A Novel Without a Hero, fiction,,"William Makepeace Thackeray, John Carey","Amazon Digital Services,  Inc.",1847,,,0.99
529,The Sirens of Titan, fiction,,Kurt Vonnegut Jr.,"Amazon Digital Services,  Inc.",1959,,,1
530,Dolores Claiborne, fiction,,"Stephen King, Dominique Dill","Amazon Digital Services,  Inc.",1992,,,4.38
531,The Nest,nonfiction,,Cynthia D'Aprix Sweeney,"Amazon Digital Services,  Inc.",2016,,,9.99
532,"Fables, Volume 1: Legends in Exile", fiction,,"Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",Penguin Group (USA) LLC,2001,,,7.5
533,Getting Things Done: How To Achieve Stress-free Productivity, fiction,,David    Allen,"Amazon Digital Services,  Inc.",2001,,,3.99
534,The Celestine Prophecy, fiction,,James Redfield,Penguin Group (USA) LLC,1993,,,3.99
535,My Life Next Door , fiction,,Huntley Fitzpatrick,Simon and Schuster Digital Sales Inc,2012,,,3.99
536,Winter of the World,nonfiction,,Ken Follett,HarperCollins Publishing,2012,,,9.99
537,"è‰²å½©ã‚’æŒãŸãªã„å¤šå´Žã¤ãã‚‹ã¨ã€å½¼ã®å·¡ç¤¼ã®å¹´ [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi]",fiction,,"Haruki Murakami, Philip Gabriel","Amazon Digital Services,  Inc.",2013,,,3.99
538,To The Lighthouse , fiction,,Virginia Woolf,Macmillan,1927,,,7.73
539,Five Point Someone: What Not to Do at IIT, fiction,,Chetan Bhagat,"Amazon Digital Services,  Inc.",2004,,,0.99
540,Guilty Pleasures, fiction,,Laurell K. Hamilton,"Amazon Digital Services,  Inc.",1993,,,2.99
541,The Messenger, fiction,,Markus Zusak,"Amazon Digital Services,  Inc.",2002,,,0.99
542,Far from the Madding Crowd, fiction,,"Thomas Hardy, Rosemarie Morgan, Shannon Russell",HarperCollins Publishers,1874,,,13.59
543,Equal Rites, fiction,,Terry Pratchett,"Amazon Digital Services,  Inc.",1987,,,0.99
544,House of Leaves, fiction,,Mark Z. Danielewski,"Amazon Digital Services,  Inc.",2000,,,2.99
545,Cruel & Unusual, fiction,,Patricia Cornwell,"Amazon Digital Services,  Inc.",1993,,,2.99
546,Sycamore Row, fiction,,John Grisham,Penguin Group (USA) LLC,2013,,,7.31
547,Awakened, fiction,,"P.C. Cast, Kristin Cast",Hachette Book Group,2011,,,4.63
548,My Ãntonia, fiction,,Willa Cather,"Amazon Digital Services,  Inc.",1918,,,3.99
549,Life As We Knew It,nonfiction,,Susan Beth Pfeffer,"Amazon Digital Services,  Inc.",2006,,,7.52
550,America (The Book): A Citizen's Guide to Democracy Inaction,nonfiction,,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",Random House LLC,2004,,,7.99
551,90 Minutes in Heaven, fiction,,"Don Piper, Cecil Murphey","Amazon Digital Services,  Inc.",2004,,,8.57
552,The Longest Ride, fiction,,Nicholas Sparks,"Amazon Digital Services,  Inc.",2012,,,0.99
553,é“å¾·ç¶“ [dÃ o dÃ© jÄ«ng], fiction,,"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",Penguin Group (USA) LLC,-300,,,4.59
554,Kane and Abel,fiction,,Jeffrey Archer,"Amazon Digital Services,  Inc.",1979,,,4.99
555,Change of Heart, fiction,,Jodi Picoult,Simon and Schuster Digital Sales Inc,2008,,,6.83
556,Sam's Letters To Jennifer, fiction,,James Patterson,Hachette Book Group,2001,,,5.99
557,Grey, fiction,,E.L. James,Hachette Book Group,2015,,,7.88
558,Dune Messiah , fiction,,Frank Herbert,"Amazon Digital Services,  Inc.",1969,,,3.99
559,The Great Divorce,fiction,,C.S. Lewis,Penguin Group (USA) LLC,1945,,,9.99
560,Little Earthquakes,nonfiction,,Jennifer Weiner,Random House LLC,2004,,,7.5
561,Eventyr og historier, fiction,,"Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter","Amazon Digital Services,  Inc.",1835,,,4.99
562,New Moon: The Complete Illustrated Movie Companion, fiction,,Mark Cotta Vaz,Penguin Group (USA) LLC,2009,,,10.99
563,Maybe Someday, fiction,,Colleen Hoover,Random House LLC,2014,,,6.83
564,Mr Maybe, fiction,,Jane Green,"Amazon Digital Services,  Inc.",1999,,,3.99
565,Anne of the Island, fiction,,L.M. Montgomery,Random House LLC,1915,,,0.99
566,Also sprach Zarathustra, fiction,,"Friedrich Nietzsche, Walter Kaufmann",Penguin Group (USA) LLC,1883,,,7.31
567,North and South, fiction,,"Elizabeth Gaskell, Alan Shelston","Amazon Digital Services,  Inc.",1854,,,3.99
568,A Stolen Life,fiction,,Jaycee Dugard,"Amazon Digital Services,  Inc.",2011,,,3.99
569,The Immortals of Meluha, fiction,,Amish Tripathi,"Amazon Digital Services,  Inc.",2010,,,2.99
570,The Lost World, fiction,,Michael Crichton,"Amazon Digital Services,  Inc.",1995,,,9.99
571,Requiem, fiction,,Lauren Oliver,"Amazon Digital Services,  Inc.",2013,,,4.99
572,A Crown of Swords,nonfiction,,Robert Jordan,"Amazon Digital Services,  Inc.",1996,,,0.99
573,Aesopica, fiction,,"Aesop, Laura Harris, Laura Gibbs","Amazon Digital Services,  Inc.",-560,,,4.99
574,Blood Meridian: Or the Evening Redness in the West, fiction,,Cormac McCarthy,Penguin Group (USA) LLC,1985,,,5.26
575,Finale, fiction,,Becca Fitzpatrick,Penguin Group (USA) LLC,2012,,,10.99
576,Skeleton Crew, fiction,,Stephen King,Random House LLC,1985,,,6.94
577,Lullaby, fiction,,Chuck Palahniuk,Hachette Book Group,2002,,,7.99
578,Two States, fiction,,Chetan Bhagat,"Amazon Digital Services,  Inc.",2009,,,6.15
579,ãƒ´ã‚¡ãƒ³ãƒ‘ã‚¤ã‚¢é¨Žå£« 1,nonfiction,,"Matsuri Hino, Tomo Kimura","Amazon Digital Services,  Inc.",2005,,,9.01
580,Summer Knight, fiction,,Jim Butcher,"Amazon Digital Services,  Inc.",2002,,,3.99
581,Dragonflight, fiction,,"Anne McCaffrey, Teodor PanasiÅ„ski","Amazon Digital Services,  Inc.",1968,,,0.99
582,"The History of the Hobbit, Part One: Mr. Baggins", fiction,,"John D. Rateliff, J.R.R. Tolkien","Amazon Digital Services,  Inc.",2007,,,3.99
583,Ugly Love, fiction,,Colleen Hoover,Random House LLC,2014,,,5.99
584,Chocolat,nonfiction,,Joanne Harris,"Amazon Digital Services,  Inc.",1998,,,6.52
585,The Amityville Horror, fiction,,Jay Anson,Hachette Book Group,1977,,,8.89
586,The English Patient, fiction,,Michael Ondaatje,"Amazon Digital Services,  Inc.",1992,,,4.99
587,Gabriel's Rapture, fiction,,Sylvain Reynard,"Amazon Digital Services,  Inc.",2012,,,3.99
588,Dubliners,fiction,,"James Joyce, Jeri Johnson",Random House LLC,1914,,,2.99
589,Let the Great World Spin, fiction,,Colum McCann,"Amazon Digital Services,  Inc.",2009,,,2.99
590,The Eternity Code,fiction,,Eoin Colfer,"Amazon Digital Services,  Inc.",2003,,,2.99
591,Tell No One, fiction,,Harlan Coben,"Amazon Digital Services,  Inc.",2001,,,2.99
592,The Tommyknockers, fiction,,Stephen King,"Amazon Digital Services,  Inc.",1987,,,5.99
593,Hex Hall,fiction,,Rachel Hawkins,"Amazon Digital Services,  Inc.",2010,,,3.99
594,Steal Like an Artist, fiction,,Austin Kleon,"Amazon Digital Services,  Inc.",2010,,,0.99
595,Beautiful Bastard, fiction,,Christina Lauren,"Amazon Digital Services,  Inc.",2013,,,2.99
596,Prodigal Summer, fiction,,Barbara Kingsolver,Simon and Schuster Digital Sales Inc,2000,,,1.99
597,We Were the Mulvaneys, fiction,,Joyce Carol Oates,Hachette Book Group,1996,,,10.65
598,Understanding Comics: The Invisible Art,nonfiction,,Scott McCloud,"Amazon Digital Services,  Inc.",1993,,,0.99
599,Beautiful Darkness,nonfiction,,"Kami Garcia, Margaret Stohl",HarperCollins Publishers,2010,,,1.99
600,The Psychopath Test, fiction,,Jon Ronson,Macmillan,2011,,,3.79
601,Vanishing Acts, fiction,,Jodi Picoult,Random House LLC,2005,,,1.99
602,Absolute Power, fiction,,David Baldacci,Macmillan,1995,,,12.74
603,Hot Six, fiction,,Janet Evanovich,"Amazon Digital Services,  Inc.",2000,,,3.99
604,The Time Keeper, fiction,,Mitch Albom,"Amazon Digital Services,  Inc.",2012,,,0.99
605,A Dirty Job,nonfiction,,Christopher Moore,"Amazon Digital Services,  Inc.",2006,,,0.99
606,Moneyball: The Art of Winning an Unfair Game, fiction,,Michael   Lewis,"Amazon Digital Services,  Inc.",2003,,,0.99
607,The Amulet of Samarkand, fiction,,Jonathan Stroud,"Amazon Digital Services,  Inc.",2003,,,0.99
608,I Am America (And So Can You!), fiction,,"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",Penguin Group (USA) LLC,2007,,,6.92
609,Exodus, fiction,,Leon Uris,Random House LLC,1958,,,11.49
610,Stones from the River, fiction,,Ursula Hegi,"Amazon Digital Services,  Inc.",1994,,,6.15
611,The Big Sleep, fiction,,Raymond Chandler,"Amazon Digital Services,  Inc.",1939,,,0.99
612,Cannery Row , fiction,,John Steinbeck,HarperCollins Publishers,1945,,,9.01
613,Seriously...I'm Kidding, fiction,,Ellen DeGeneres,Hachette Book Group,2011,,,6.64
614,The Miserable Mill, fiction,,"Lemony Snicket, Brett Helquist",Penguin Group (USA) LLC,2000,,,10.99
615,The Snow Child, fiction,,Eowyn Ivey,"Amazon Digital Services,  Inc.",2012,,,0.99
616,Wait for You, fiction,,"J. Lynn, Jennifer L. Armentrout","Amazon Digital Services,  Inc.",2013,,,3.99
617,The Last Straw, fiction,,Jeff Kinney,"Amazon Digital Services,  Inc.",2009,,,3.99
618,La Divina Commedia, fiction,,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale","Amazon Digital Services,  Inc.",1308,,,0.99
619,The Tao of Pooh, fiction,,"Benjamin Hoff, Ernest H. Shepard",HarperCollins Publishers,1982,,,9.59
620,Onyx, fiction,,Jennifer L. Armentrout,Random House LLC,2012,,,9.02
621,"Unravel Me (Shatter Me, #2)", fiction,,Tahereh Mafi,"Amazon Digital Services,  Inc.",2013,,,0.99
622,The Birth of Venus, fiction,,Sarah Dunant,"Amazon Digital Services,  Inc.",2003,,,2.99
623,The Opal Deception, fiction,,Eoin Colfer,"Amazon Digital Services,  Inc.",2005,,,0.99
624,Det som inte dÃ¶dar oss, fiction,,"David Lagercrantz, Stieg Larsson, George Goulding",Random House LLC,2015,,,0.99
625,The Girls, fiction,,Emma Cline,Random House LLC,2016,,,7.99
626,The Goose Girl, fiction,,Shannon Hale,Simon and Schuster Digital Sales Inc,2003,,,0.99
627,Mystic River, fiction,,Dennis Lehane,Random House LLC,2001,,,8.99
628,Warm Bodies, fiction,,Isaac Marion,"Amazon Digital Services,  Inc.",2010,,,3.99
629,The Prince and the Pauper, fiction,,"Mark Twain, Everett H. Emerson",Random House LLC,1881,,,7.99
630,The Moon is a Harsh Mistress, fiction,,Robert A. Heinlein,Penguin Group (USA) LLC,1966,,,7.69
631,The Forty Rules of Love, fiction,,"Elif Shafak, Ø¥Ù„ÙŠÙ Ø´Ø§ÙØ§Ù‚, Ø§Ø±Ø³Ù„Ø§Ù† ÙØµÛŒØ­ÛŒ, Ù…Ø­Ù…Ø¯ Ø¯Ø±ÙˆÙŠØ´","Amazon Digital Services,  Inc.",2010,,,0.99
632,Joyland, fiction,,Stephen King,"Amazon Digital Services,  Inc.",2013,,,0.99
633,é€²æ’ƒã®å·¨äºº 1, fiction,,"Hajime Isayama, Sheldon Drzka","Amazon Digital Services,  Inc.",2010,,,0.99
634,Tender Is the Night, fiction,,F. Scott Fitzgerald,"Amazon Digital Services,  Inc.",1933,,,0.99
635,Cold Sassy Tree, fiction,,Olive Ann Burns,Random House LLC,1984,,,7.99
636,The Glass Menagerie,nonfiction,,Tennessee Williams,"Amazon Digital Services,  Inc.",1945,,,0.99
637,L'amica geniale,nonfiction,,"Elena Ferrante, Ann Goldstein",Random House LLC,2011,,,7.67
638,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich", fiction,,Timothy Ferriss,"Amazon Digital Services,  Inc.",2007,,,2.99
639,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny, fiction,,Robin S. Sharma,"Amazon Digital Services,  Inc.",1996,,,0.99
640,Rules of Civility, fiction,,Amor Towles,Penguin Group (USA) LLC,2011,,,5.99
641,Ringworld, fiction,,Larry Niven,"Amazon Digital Services,  Inc.",1970,,,0.99
642,Between Shades of Gray, fiction,,Ruta Sepetys,"Amazon Digital Services,  Inc.",2011,,,1.99
643,Frindle, fiction,,"Andrew Clements, Brian Selznick",Macmillan,1996,,,5.99
644,Dog Days, fiction,,Jeff Kinney,"Amazon Digital Services,  Inc.",2009,,,3.99
645,The Round House, fiction,,Louise Erdrich,"Amazon Digital Services,  Inc.",2012,,,2.99
646,A Wind in the Door, fiction,,Madeleine L'Engle,"Amazon Digital Services,  Inc.",1973,,,2.99
647,Free Four: Tobias Tells the Divergent Story,nonfiction,,Veronica Roth,Hachette Book Group,2012,,,9.99
648,A Little Life, fiction,,Hanya Yanagihara,"Amazon Digital Services,  Inc.",2015,,,2.99
649,"Y: The Last Man, Vol. 1: Unmanned", fiction,,"Brian K. Vaughan, Pia Guerra, JosÃ© MarzÃ¡n Jr.","Amazon Digital Services,  Inc.",2003,,,0.99
650,The Alloy of Law, fiction,,Brandon Sanderson,"Amazon Digital Services,  Inc.",2011,,,4.99
651,Dead Reckoning,nonfiction,,Charlaine Harris,"Amazon Digital Services,  Inc.",2011,,,0.99
652,The Accidental Tourist, fiction,,"Anne Tyler, Jennifer Bassett","Amazon Digital Services,  Inc.",1985,,,6.59
653,Aristotle and Dante Discover the Secrets of the Universe,fiction,,Benjamin Alire SÃ¡enz,"Amazon Digital Services,  Inc.",2012,,,9.1
654,The Invisible Man, fiction,,H.G. Wells,Macmillan,1897,,,0.99
655,ä¸–ç•Œã®çµ‚ã‚Šã¨ãƒãƒ¼ãƒ‰ãƒœã‚¤ãƒ«ãƒ‰ãƒ»ãƒ¯ãƒ³ãƒ€ãƒ¼ãƒ©ãƒ³ãƒ‰ [Sekai no owari to hÄdoboirudo wandÄrando], fiction,,"Haruki Murakami, Alfred Birnbaum","Amazon Digital Services,  Inc.",1985,,,0.99
656,Na margem do rio Piedra eu sentei e chorei, fiction,,"Paulo Coelho, Alan R. Clarke",Random House LLC,1994,,,7.69
657,Der Schweizerische Robinson, fiction,,"Johann David Wyss, Scott McKowen, Arthur Pober","Amazon Digital Services,  Inc.",1812,,,2.99
658,Four Past Midnight,nonfiction,,Stephen King,HarperCollins Publishers,1990,,,5.38
659,The Marriage Bargain, fiction,,Jennifer Probst,Random House LLC,2012,,,10.99
660,Anne of Avonlea, fiction,,L.M. Montgomery,"Amazon Digital Services,  Inc.",1909,,,0.99
661,The Little Engine That Could, fiction,,"Watty Piper, Doris Hauman, George Hauman","Amazon Digital Services,  Inc.",1930,,,4.99
662,We Are All Completely Beside Ourselves, fiction,,Karen Joy Fowler,"Amazon Digital Services,  Inc.",2013,,,2.99
663,Children of the Mind, fiction,,Orson Scott Card,"Amazon Digital Services,  Inc.",1996,,,8.59
664,Ulysses, fiction,,James Joyce,"Amazon Digital Services,  Inc.",1922,,,0.99
665,Someone Like You,nonfiction,,Sarah Dessen,Simon and Schuster Digital Sales Inc,1998,,,2.99
666,Moloka'i,nonfiction,,Alan Brennert,HarperCollins Christian Publishing,2003,,,7.99
667,The Witching Hour,nonfiction,,Anne Rice,"Amazon Digital Services,  Inc.",1990,,,3.03
668,This Present Darkness, fiction,,Frank E. Peretti,"Amazon Digital Services,  Inc.",1986,,,2.99
669,The Coincidence of Callie & Kayden, fiction,,Jessica Sorensen,"Amazon Digital Services,  Inc.",2012,,,0.99
670,Fates and Furies, fiction,,Lauren Groff,HarperCollins Publishers,2015,,,7.31
671,Summer Sisters, fiction,,Judy Blume,Penguin Group (USA) LLC,1998,,,7.31
672,Stuart Little, fiction,,"E.B. White, Garth Williams","Amazon Digital Services,  Inc.",1945,,,2.99
673,The Foundation Trilogy,fiction,,Isaac Asimov,HarperCollins Publishers,1953,,,8.99
674,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory", fiction,,Brian Greene,"Amazon Digital Services,  Inc.",1999,,,2.99
675,The Austere Academy, fiction,,"Lemony Snicket, Brett Helquist","Amazon Digital Services,  Inc.",2000,,,0.99
676,Seven Up, fiction,,Janet Evanovich,HarperCollins Publishers,2001,,,11.19
677,The Awakening, fiction,,Kelley Armstrong,Simon and Schuster Digital Sales Inc,2009,,,6.45
678,Stellaluna, fiction,,Janell Cannon,"Amazon Digital Services,  Inc.",1993,,,0.99
679,Before They Are Hanged, fiction,,Joe Abercrombie,Random House LLC,2007,,,0.99
680,Loving Frank, fiction,,Nancy Horan,Hachette Book Group,2007,,,6.99
681,Hard Eight,nonfiction,,"Janet Evanovich, Lorelei King",Random House LLC,2002,,,8.99
682,The Vile Village, fiction,,"Lemony Snicket, Brett Helquist",Penguin Group (USA) LLC,2001,,,5.99
683,Sybil,nonfiction,,Flora Rheta Schreiber,HarperCollins Publishing,1973,,,4.26
684,Cosmos,nonfiction,,Carl Sagan,Penguin Group (USA) LLC,1980,,,9.59
685,Haunted: A Novel of Stories,fiction,,Chuck Palahniuk,Simon and Schuster Digital Sales Inc,2005,,,1.99
686,The Shell Seekers, fiction,,Rosamunde Pilcher,"Amazon Digital Services,  Inc.",1987,,,4.99
687,What Is the What: The Autobiography of Valentino Achak Deng, fiction,,Dave Eggers,Penguin Group (USA) LLC,2006,,,14.24
688,CrÃ³nica de una muerte anunciada, fiction,,"Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa",Simon and Schuster Digital Sales Inc,1981,,,9.56
689,A Scandal in Bohemia,nonfiction,,"Ronald Holt, Arthur Conan Doyle","Amazon Digital Services,  Inc.",1891,,,2.99
690,The Lowland, fiction,,Jhumpa Lahiri,"Amazon Digital Services,  Inc.",2013,,,3.99
691,The Ruins of Gorlan,nonfiction,,John Flanagan,Random House LLC,2004,,,6.99
692,Wintergirls, fiction,,Laurie Halse Anderson,"Amazon Digital Services,  Inc.",2009,,,2.99
693,The Brethren,fiction,,John Grisham,Penguin Group (USA) LLC,2000,,,7.99
694,Assassin's Quest, fiction,,Robin Hobb,"Amazon Digital Services,  Inc.",1997,,,3.99
695,Rosemary's Baby, fiction,,Ira Levin,"Amazon Digital Services,  Inc.",1967,,,4.99
696,The Talisman,nonfiction,,"Stephen King, Peter Straub","Amazon Digital Services,  Inc.",1984,,,1.99
697,The Path of Daggers, fiction,,Robert Jordan,"Amazon Digital Services,  Inc.",1998,,,1.99
698,The Reckoning, fiction,,Kelley Armstrong,"Amazon Digital Services,  Inc.",2010,,,3.99
699,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",fiction,,Katherine Boo,Random House LLC,2012,,,7.99
700,Mary Poppins, fiction,,"P.L. Travers, Mary Shepard","Amazon Digital Services,  Inc.",1934,,,2.99
701,Red Seas Under Red Skies, fiction,,Scott Lynch,"Amazon Digital Services,  Inc.",2007,,,2.99
702,The House on Mango Street, fiction,,Sandra Cisneros,"Amazon Digital Services,  Inc.",1984,,,0.99
703,City of Thieves, fiction,,David Benioff,HarperCollins Publishers,2008,,,1.99
704,Halfway to the Grave, fiction,,Jeaniene Frost,"Amazon Digital Services,  Inc.",2007,,,1.99
705,The Twits, fiction,,"Roald Dahl, Quentin Blake",Random House LLC,1980,,,7.31
706,Abhorsen,nonfiction,,Garth Nix,"Amazon Digital Services,  Inc.",2003,,,12.99
707,The Beach House, fiction,,"James Patterson, Peter de Jonge","Amazon Digital Services,  Inc.",2002,,,3.99
708,Eyes of the Dragon,nonfiction,,Stephen King,HarperCollins Publishers,1987,,,5.99
709,Children of Dune, fiction,,Frank Herbert,"Amazon Digital Services,  Inc.",1976,,,0.99
710,Leviathan Wakes,nonfiction,,James S.A. Corey,HarperCollins Publishers,2011,,,14.44
711,Queen of Shadows, fiction,,Sarah J. Maas,Macmillan,2015,,,2.99
712,Maus II : And Here My Troubles Began ,nonfiction,,Art Spiegelman,Hachette Book Group,1991,,,4.99
713,The Snowy Day, fiction,,Ezra Jack Keats,"Amazon Digital Services,  Inc.",1962,,,10
714,To the Nines, fiction,,Janet Evanovich,Penguin Group (USA) LLC,2003,,,11.99
715,Where We Belong,nonfiction,,Emily Giffin,"Amazon Digital Services,  Inc.",2012,,,0.99
716,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus, fiction,,Richard   Preston,"Amazon Digital Services,  Inc.",1994,,,2.99
717,ã‚¹ãƒ—ãƒ¼ãƒˆãƒ‹ã‚¯ã®æ‹äºº [SupÅ«toniku no Koibito], fiction,,"Haruki Murakami, Philip Gabriel",Penguin Group (USA) LLC,1999,,,9.27
718,The Signature of All Things,nonfiction,,Elizabeth Gilbert,"Amazon Digital Services,  Inc.",2012,,,1.99
719,"Eats, Shoots and Leaves", fiction,,Lynne Truss,"Amazon Digital Services,  Inc.",2003,,,3.99
720,Dead Witch Walking,nonfiction,,Kim Harrison,"Amazon Digital Services,  Inc.",2004,,,2.99
721,An Echo in the Bone, fiction,,Diana Gabaldon,Simon and Schuster Digital Sales Inc,2009,,,11.89
722,Unearthly, fiction,,Cynthia Hand,Hachette Book Group,2011,,,1.99
723,The Case for Christ, fiction,,Lee Strobel,Macmillan,1988,,,6.83
724,Knife of Dreams, fiction,,Robert Jordan,"Amazon Digital Services,  Inc.",2005,,,2.99
725,Hoot, fiction,,Carl Hiaasen,Penguin Group (USA) LLC,2002,,,4.99
726,Ã†neis, fiction,,"Virgil, Robert Fitzgerald","Amazon Digital Services,  Inc.",-17,,,0.99
727,This is How You Lose Her,nonfiction,,Junot DÃ­az,"Amazon Digital Services,  Inc.",2012,,,5.38
728,ã‚¢ãƒ•ã‚¿ãƒ¼ãƒ€ãƒ¼ã‚¯ [AfutÄ dÄku], fiction,,"Haruki Murakami, Jay Rubin","Amazon Digital Services,  Inc.",2004,,,5.99
729,Ishmael: An Adventure of the Mind and Spirit, fiction,,Daniel Quinn,Random House LLC,1992,,,7.69
730,It's Not Summer Without You, fiction,,Jenny Han,"Amazon Digital Services,  Inc.",2010,,,2.99
731,Pushing the Limits, fiction,,Katie McGarry,"Amazon Digital Services,  Inc.",2012,,,3.99
732,Quidditch Through the Ages, fiction,,"Kennilworthy Whisp, J.K. Rowling",Random House LLC,2001,,,0.99
733,Miss Nelson Is Missing!, fiction,,"Harry Allard, James  Marshall",Penguin Group (USA) LLC,1977,,,9.99
734,The Long Walk,nonfiction,,"Richard Bachman, Stephen King",Hachette Book Group,1979,,,3.99
735,The Ersatz Elevator,nonfiction,,"Lemony Snicket, Brett Helquist",Random House LLC,2001,,,1.99
736,Messenger , fiction,,Lois Lowry,"Amazon Digital Services,  Inc.",2004,,,3.99
737,Lover Revealed, fiction,,J.R. Ward,"Amazon Digital Services,  Inc.",2007,,,5.99
738,'Salem's Lot The Illustrated Edition, fiction,,"Stephen King, Jerry N. Uelsmann",Hachette Book Group,2005,,,6.64
739,The Mysterious Benedict Society, fiction,,"Trenton Lee Stewart, Carson Ellis","Amazon Digital Services,  Inc.",2007,,,0.99
740,"Never Too Far (Too Far, #2)", fiction,,Abbi Glines,"Amazon Digital Services,  Inc.",2013,,,0.99
741,State of Fear, fiction,,Michael Crichton,"Amazon Digital Services,  Inc.",2004,,,0.99
742,The Statistical Probability of Love at First Sight, fiction,,Jennifer E. Smith,"Amazon Digital Services,  Inc.",2012,,,0.99
743,The Golem's Eye,nonfiction,,Jonathan Stroud,Simon and Schuster Digital Sales Inc,2004,,,6.99
744,Still Life with Woodpecker, fiction,,Tom Robbins,"Amazon Digital Services,  Inc.",1980,,,2.99
745,Those Who Save Us, fiction,,Jenna Blum,"Amazon Digital Services,  Inc.",2004,,,0.99
746,The Broker, fiction,,John Grisham,"Amazon Digital Services,  Inc.",2005,,,0.99
747,Across the Universe, fiction,,Beth Revis,"Amazon Digital Services,  Inc.",2011,,,3.99
748,"The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth",nonfiction,,M. Scott Peck,"Amazon Digital Services,  Inc.",1978,,,8.99
749,Blood Rites,nonfiction,,Jim Butcher,"Amazon Digital Services,  Inc.",2004,,,8.98
750,The Boxcar Children, fiction,,"Gertrude Chandler Warner, L. Kate Deal",Simon and Schuster Digital Sales Inc,1942,,,12.99
751,The Silent Wife,nonfiction,,A.S.A. Harrison,"Amazon Digital Services,  Inc.",2013,,,6.76
752,How to Be a Woman, fiction,,Caitlin Moran,"Amazon Digital Services,  Inc.",2011,,,2.99
753,A Court of Mist and Fury, fiction,,Sarah J. Maas,Simon and Schuster Digital Sales Inc,2016,,,9.99
754,Life, fiction,,Keith Richards,Random House LLC,2010,,,7.99
755,Unaccustomed Earth, fiction,,Jhumpa Lahiri,"Amazon Digital Services,  Inc.",2008,,,3.99
756,The Pilot's Wife, fiction,,Anita Shreve,Simon and Schuster Digital Sales Inc,1998,,,11.89
757,White Noise, fiction,,Don DeLillo,"Amazon Digital Services,  Inc.",1985,,,4.99
758,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest", fiction,,Stephen E. Ambrose,"Amazon Digital Services,  Inc.",1992,,,2.99
759,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life, fiction,,Charles Darwin,HarperCollins Publishers,1859,,,8.99
760,Blankets, fiction,,Craig Thompson,"Amazon Digital Services,  Inc.",2003,,,2.99
761,The Story of Edgar Sawtelle,nonfiction,,David Wroblewski,"Amazon Digital Services,  Inc.",2008,,,2.99
762,Drowning Ruth, fiction,,Christina Schwarz,"Amazon Digital Services,  Inc.",2000,,,4.99
